,Number,Date,Primary Target,Target Attacked,Comments,Month,Day
0,348,1943-06-11,"Type: ShipyardsLocation: Bremen, Germany",,384th Officers Get Combat Experience. No Aircraft Lost,6,11
1,1,1943-06-22,"Target: General Motors Truck FactoryType: IndustryLocation: Antwerp, Belgium",Primary,First 384th Combat Mission. Pilot/Aircraft losses:Disney / 42‑5853 ⇗Olbinski / 42‑30076 ⇗,6,22
2,2,1943-06-25,"Target: Industrial Area & Submarine PensType: MilitaryLocation: Hamburg, Germany",Primary,Weather Reduces Force. Pilot/Aircraft losses:McMillin / 42‑5850 ⇗Riches / 42‑30143 ⇗Way / 42‑30049 ⇗,6,25
3,3,1943-06-26,"Target: Villacoublay AirfieldType: German Air Force (Luftwaffe)Location: Paris, France",None,"Target Hidden, Bombs Held. Pilot/Aircraft losses:Burgoon / 42‑30031 ⇗Cuddeback / 42‑3188 ⇗Henderson / 42‑30037 ⇗Rosio / 42‑30058 ⇗Wheat / 42‑30048 ⇗",6,26
4,4,1943-06-28,"Target: Fighter AirfieldType: German Air Force (Luftwaffe)Location: Beaumont-le-Roger, France",Primary,Luftwaffe Airfield Attacked. No Aircraft Lost,6,28
5,5,1943-06-29,"Target: duNord Aircraft Works, Villacoublay AirfieldType: German Air Force (Luftwaffe)Location: Paris, France",None,"Target Hidden, Bombs Held. No Aircraft Lost",6,29
6,6,1943-07-04,"Target: Gnome et Rhone Aircraft Engine PlantType: Aircraft IndustryLocation: Le Mans, France",Primary,Aircraft Plant Attacked. Pilot/Aircraft losses: Erickson / 42‑29960 ⇗Myer / 42‑3235 ⇗,7,4
7,7,1943-07-10,"Target: Drucat AirfieldType: German Air Force (Luftwaffe)Location: Abbeville, France",Primary,Luftwaffe Airfield Attacked. No Aircraft Lost,7,10
8,8,1943-07-14,"Target: Villacoublay AirfieldType: German Air Force (Luftwaffe)Location: Paris, France",Primary,Luftwaffe Airfield Pounded. Pilot/Aircraft losses: Munday / 42‑3330 ⇗,7,14
9,9,1943-07-24,"Target: Aluminum & Magnesium PlantsType: IndustryLocation: Herøya, Norway",Primary,Aluminum Plants Attacked. No Aircraft Lost,7,24
10,10,1943-07-25,"Target: Blohm & Voss Aircraft Works and ShipyardType: IndustryLocation: Hamburg, Germany",Primary,Smoke Screen Challenges Bombardiers. Pilot/Aircraft losses:Christman / 42‑3088 ⇗Estes / 42‑5883 ⇗Hall / 42‑3122 ⇗Hall / 42‑29670 ⇗Hankinson / 42‑3069 ⇗Hegewald / 42‑3075 ⇗Ward / 42‑3024 ⇗,7,25
11,11,1943-07-28,"Target: Aircraft Engine PlantType: Aircraft IndustryLocation: Kassel, Germany",Other,Aborted Mission. Pilot/Aircraft losses: Dietel / 42‑30032 ⇗,7,28
12,12,1943-07-29,"Target: Naval BaseType: MilitaryLocation: Kiel, Germany",TOO,Weather Stymies Bombers. Pilot/Aircraft losses: Roberts / 42‑29700 ⇗,7,29
13,13,1943-07-30,"Target: Aircraft Assembly PlantType: Aircraft IndustryLocation: Kassel, Germany",Primary,Bombers Plaster Kassel. Pilot/Aircraft losses: Harry / 42‑5848 ⇗,7,30
14,14,1943-08-12,"Target: Synthetic Fuel Hydrogenation PlantType: IndustryLocation: Gelsenkirchen, Germany",TOO,Many Enemy Fighters. Pilot/Aircraft losses: Bigelow / 42‑29686 ⇗Carrington / 42‑3231 ⇗Keck / 42‑3104 ⇗Sierens / 42‑30046 ⇗Swank / 42‑5806 ⇗,8,12
15,15,1943-08-15,"Target: Poix-en-Picardie and Amiens-Glisy AirfieldsType: German Air Force (Luftwaffe)Location: Poix-de-Picardie & Amiens, France",Primary,Two Targets Attacked No Aircraft Lost,8,15
16,16,1943-08-16,"Target: Le Bourget Airport & Air DepotType: German Air Force (Luftwaffe)Location: Paris, France",Primary,Enemy Air Depot Destroyed Pilot/Aircraft losses: Magowan / 42‑5797 ⇗,8,16
17,17,1943-08-17,"Target: Ball-Bearing PlantType: Bearings IndustryLocation: Schweinfurt, Germany",Primary,First Schweinfurt. Pilot/Aircraft losses: Hausenfluck / 42‑29956 ⇗Mattes / 42‑3222 ⇗Sweningsen / 42‑30139 ⇗Wilson / 42‑30147 ⇗Wofford / 42‑3230 ⇗,8,17
18,18,1943-08-27,"Target: NOBALL (V-1 Launch Site)Type: CROSSBOW (V-Weapons)Location: Watten, France",None,No Attack: Mechanical Failure No Aircraft Lost,8,27
19,19,1943-08-31,"Target: Fighter AirfieldType: German Air Force (Luftwaffe)Location: Romilly-sur-Seine, France",None,"Target Hidden, Bombs Held No Aircraft Lost",8,31
