Year,AI Job Postings (% of All Job Postings),Label
2014,0.0015152284099999999,New Zealand
2015,0.00164001318,New Zealand
2016,0.00144197264,New Zealand
2017,0.00165233715,New Zealand
2018,0.00196294933,New Zealand
2019,0.0018243379000000002,New Zealand
2020,0.00229129569,New Zealand
2021,0.00358418639,New Zealand
2022,0.00447136592,New Zealand
2014,0.0016797742399999999,Italy
2015,0.00160513644,Italy
2016,0.001333956,Italy
2017,0.0016525653,Italy
2018,0.00277827092,Italy
2019,0.005308029789999999,Italy
2020,0.0058480771,Italy
2021,0.0056953362100000005,Italy
2022,0.0072022695000000005,Italy
2014,0.0035885861499999998,France
2015,0.00338659726,France
2016,0.00404320042,France
2017,0.00410528852,France
2018,0.005712892870000001,France
2019,0.00689325185,France
2020,0.00763903821,France
2021,0.00813436237,France
2022,0.00836755169,France
2014,0.00416309124,Belgium
2015,0.00392856339,Belgium
2016,0.00504302201,Belgium
2017,0.0049261313800000005,Belgium
2018,0.00600929224,Belgium
2019,0.00622689923,Belgium
2020,0.0088372153,Belgium
2021,0.00891599792,Belgium
2022,0.008634464389999999,Belgium
2014,0.00399470398,Austria
2015,0.00361041048,Austria
2016,0.00413287604,Austria
2017,0.00592273812,Austria
2018,0.00936265247,Austria
2019,0.008031963330000001,Austria
2020,0.00722878261,Austria
2021,0.007557873160000001,Austria
2022,0.00889697027,Austria
2014,0.0046667316399999995,Germany
2015,0.00432256223,Germany
2016,0.00486603893,Germany
2017,0.00534524369,Germany
2018,0.00736116665,Germany
2019,0.008230145119999999,Germany
2020,0.00847815534,Germany
2021,0.00983734863,Germany
2022,0.0098203485,Germany
2014,0.00823132538,Netherlands
2015,0.0076363023799999995,Netherlands
2016,0.006382300939999999,Netherlands
2017,0.00561143148,Netherlands
2018,0.00705973274,Netherlands
2019,0.00836098608,Netherlands
2020,0.01114205346,Netherlands
2021,0.01029499002,Netherlands
2022,0.01014708762,Netherlands
2014,0.0036102847,United Kingdom
2015,0.00414677544,United Kingdom
2016,0.004387775,United Kingdom
2017,0.00626698995,United Kingdom
2018,0.00746700975,United Kingdom
2019,0.00832574578,United Kingdom
2020,0.01018111181,United Kingdom
2021,0.010280136689999999,United Kingdom
2022,0.01140013473,United Kingdom
2014,0.0035093030400000003,Switzerland
2015,0.00321177095,Switzerland
2016,0.00494961881,Switzerland
2017,0.00500861864,Switzerland
2018,0.0070941155,Switzerland
2019,0.00723603527,Switzerland
2020,0.008207702249999999,Switzerland
2021,0.01091116081,Switzerland
2022,0.01161809001,Switzerland
2014,0.00645006239,Sweden
2015,0.00459288581,Sweden
2016,0.00553121501,Sweden
2017,0.00751793584,Sweden
2018,0.011376895440000001,Sweden
2019,0.01272990517,Sweden
2020,0.01483349701,Sweden
2021,0.013895125139999999,Sweden
2022,0.01202626631,Sweden
2014,0.00167585705,Australia
2015,0.00265669398,Australia
2016,0.00254955567,Australia
2017,0.0039331329100000005,Australia
2018,0.00599515934,Australia
2019,0.006717987,Australia
2020,0.0091148207,Australia
2021,0.01340957044,Australia
2022,0.012311995039999999,Australia
2014,,Spain
2015,,Spain
2016,,Spain
2017,,Spain
2018,0.00462330025,Spain
2019,0.00630841137,Spain
2020,0.00867007149,Spain
2021,0.009110279340000001,Spain
2022,0.01330544883,Spain
2014,0.00396799762,Canada
2015,0.004494556,Canada
2016,0.00587847777,Canada
2017,0.00908314104,Canada
2018,0.010192577979999999,Canada
2019,0.01149890001,Canada
2020,0.012599253139999999,Canada
2021,0.01570971388,Canada
2022,0.014497935120000001,Canada
2014,0.005780925070000001,United States
2015,0.00732356562,United States
2016,0.00810826526,United States
2017,0.01083590945,United States
2018,0.015157969989999999,United States
2019,0.01709355682,United States
2020,0.01614365179,United States
2021,0.01824310985,United States
2022,0.02054983602,United States
